ticker,issuer,portfolio_pct,shares,value,reported_price,activity
LOAR,Loar Holdings Inc,38.41,32050240,2179416000.0,68.0,
LAD,Lithia Motors Inc.,14.59,2490534,827679000.0,332.33,
GOOGL,Alphabet Inc.,10.57,1916630,599905000.0,313.0,Reduce 9.77%
SGI,Somnigroup International Inc.,9.13,5804136,518193000.0,89.28,Reduce 0.70%
ABG,Asbury Automotive Group Inc.,8.83,2155492,501217000.0,232.53,
CPNG,Coupang Inc.,5.41,13017964,307094000.0,23.59,
WTW,Willis Towers Watson plc,4.17,720779,236848000.0,328.6,
META,Meta Platforms Inc.,3.78,325155,214632000.0,660.09,Reduce 17.63%
UHAL.B,U Haul Holding Co Non Voting,2.68,3251469,151974000.0,46.74,
ET,Energy Transfer LP,1.78,6115417,100843000.0,16.49,Reduce 1.46%
NUVB,Nuvation Bio Inc.,0.6,3811513,34151000.0,8.96,
UHAL,U-Haul Holding Co.,0.03,36401,1835000.0,50.41,
